game_id,points,offense,defense,offense_mean_rank,offense_median_rank,offense_trimmed_rank,defense_mean_rank,defense_median_rank,defense_trimmed_rank,mean_rank_diff,median_rank_diff,trimmed_rank_diff,rf_pred
708,36,Florida,UAB,69.78,70,69.85,89.48,91,89.66,-19.700000000000003,-21,-19.810000000000002,31.232985988461085
709,52,FL Atlantic,Florida Intl,37.09,34,36.72,77.11,77,77.06,-40.019999999999996,-43,-40.34,41.37339373208838
710,42,Georgia,Kentucky,2.73,2,2.68,57.89,58,57.59,-55.160000000000004,-56,-54.910000000000004,38.03416947793848
711,41,Indiana,Rutgers,62.31,62,62.21,92.08,92,92.05,-29.769999999999996,-30,-29.839999999999996,31.6856109048941
712,56,Louisville,Syracuse,27.51,27,27.26,73.23,71,73.23,-45.72,-44,-45.97,40.03318758060964
713,44,Miami FL,Virginia,12.94,12,12.89,63.33,62,63.21,-50.39,-50,-50.32,34.216348522167486
714,17,Michigan St,Maryland,20.78,18,20.55,75.53,74,75.65,-54.75,-56,-55.10000000000001,31.42262678803641
715,52,Ohio St,Illinois,4.96,5,4.88,107.92,108,108.22,-102.96000000000001,-103,-103.34,47.005795836968716
716,24,Old Dominion,Rice,108.61,108,108.74,125.18,126,125.54,-16.570000000000007,-18,-16.80000000000001,29.972090374026962
717,56,Penn St,Nebraska,7.69,7,7.54,77.64,76,77.47,-69.95,-69,-69.92999999999999,46.30463616825299
718,45,UCF,Temple,9.1,8,8.95,74.57,74,74.6,-65.47,-66,-65.64999999999999,43.41165955845459
719,20,Virginia Tech,Pittsburgh,19.41,19,19.25,64.3,65,64.18,-44.89,-46,-44.93000000000001,31.311351787487588
720,30,Wake Forest,NC State,32.82,32,32.49,25.34,24,25.05,7.48,8,7.440000000000001,26.33254046707031
721,28,Texas,West Virginia,44.1,43,43.94,44.8,44,44.59,-0.6999999999999957,-1,-0.6500000000000057,30.065997603355303
722,28,Mississippi St,Arkansas,26.12,27,26.12,83.09,83,83.19,-56.97,-56,-57.06999999999999,33.54192752505782
723,30,Arkansas St,Texas St,77.83,80,78.05,126.47,127,126.77,-48.64,-47,-48.72,34.82392254026211
724,42,Auburn,ULM,8.66,9,8.62,108.66,109,108.85,-100,-100,-100.22999999999999,45.857238442822386
725,23,Iowa St,Baylor,33.95,34,33.59,104.83,111,105.15,-70.88,-77,-71.56,38.20662584393154
726,42,Colorado St,San Jose St,77.44,76,77.48,125.87,126,126.27,-48.43000000000001,-50,-48.78999999999999,34.47960269599149
727,24,Purdue,Iowa,44.51,43,44.28,25.89,24,25.45,18.619999999999997,19,18.830000000000002,20.7974932269493
728,41,Oklahoma,Kansas,4.97,4,4.94,120.93,121,121.19,-115.96000000000001,-117,-116.25,46.04055421021978
729,47,ULL,New Mexico St,115.28,117,115.54,101.82,103,102.09,13.460000000000008,14,13.450000000000003,28.58222760908395
730,66,Memphis,SMU,21.31,20,21.3,58.7,59,58.42,-37.39,-39,-37.120000000000005,34.38797983234866
731,52,North Texas,Army,65.82,64,65.71,54.96,55,54.6,10.859999999999992,9,11.109999999999992,30.595436908272543
732,39,Northwestern,Minnesota,20.83,20,20.68,71.37,69,71.23,-50.540000000000006,-49,-50.550000000000004,31.706581352833638
733,45,Kansas St,Oklahoma St,45.64,46,45.47,19.39,18.5,19.36,26.25,27.5,26.11,28.34120866286248
734,31,Texas A&M,Mississippi,45.46,45,45.32,62.27,63,62.11,-16.810000000000002,-18,-16.79,32.674070743405274
735,66,Southern Miss,Charlotte,78.7,81,78.92,126.26,127,126.63,-47.56,-46,-47.709999999999994,40.73998147970751
736,30,LSU,Tennessee,21.18,21,21.07,89.17,90,89.2,-67.99000000000001,-69,-68.13,39.182359665483425
737,27,TCU,Texas Tech,15,15,14.98,53.54,53,53.32,-38.54,-38,-38.34,34.74151547491996
738,20,Tulane,Houston,80.4,79,80.31,48.13,47,47.77,32.27,32,32.54,23.103871461361898
739,9,UT San Antonio,Marshall,92.49,95,92.72,73.74,76,73.68,18.75,19,19.039999999999992,20.101904190482205
740,45,Missouri,Vanderbilt,48.54,51,48.45,80.34,81,80.48,-31.800000000000004,-30,-32.03,31.853530730136683
741,24,Wisconsin,Michigan,5.56,5,5.46,23.2,22,22.91,-17.64,-17,-17.45,33.46308686122967
742,16,Massachusetts,BYU,105.98,108,106.21,104.12,106,104.47,1.8599999999999994,2,1.7399999999999949,22.79602240730312
743,44,Boise St,Air Force,29.91,29.5,29.91,91.62,92,91.63,-61.71000000000001,-62.5,-61.72,39.27387981417653
744,42,Louisiana Tech,UTEP,88.91,91,88.99,129.25,130,129.59,-40.34,-39,-40.60000000000001,39.8515106853353
745,38,Utah St,Hawaii,84.57,85,84.71,119.54,120,119.8,-34.97000000000001,-35,-35.09,35.65398027898028
746,13,Fresno St,Wyoming,46.19,43,46.03,77.85,79,78.03,-31.659999999999997,-36,-32,27.209561523967682
747,52,Ga Southern,South Alabama,120.79,122,121.06,114.65,116,114.86,6.140000000000001,6,6.200000000000003,28.96330802118563
748,13,Coastal Car,Idaho,119.83,121,120,112.71,114,112.86,7.1200000000000045,7,7.140000000000001,27.55461497309375
749,48,Oregon,Arizona,39.78,39,39.66,50.7,50,50.5,-10.920000000000002,-11,-10.840000000000003,30.562227513063913
750,40,Arizona St,Oregon St,41.44,40,41.02,115.88,117,116.31,-74.44,-77,-75.28999999999999,42.5676049693348
751,17,Stanford,California,17.31,16,17.12,65.23,64,65.12,-47.92,-48,-48,31.3855879441908
752,28,USC,UCLA,12.62,12,12.54,50.2,50,50.05,-37.580000000000005,-38,-37.51,35.72938237418733
753,33,Washington,Utah,11.72,11,11.48,49.68,52,49.5,-37.96,-41,-38.019999999999996,35.42670688728272
754,24,Notre Dame,Navy,11.16,10,10.99,51.61,52,51.33,-40.45,-42,-40.339999999999996,35.89706446378522
755,42,San Diego St,Nevada,34.67,33,34.41,104.18,104,104.38,-69.51,-71,-69.97,39.01313724350404
756,24,Akron,Kent,83.39,82,83.29,121.62,122,121.88,-38.230000000000004,-40,-38.58999999999999,38.14619363922985
757,28,Miami OH,Ball St,97.8,98,98.05,125.54,126,125.8,-27.74000000000001,-28,-27.75,33.83450513791239
758,34,E Michigan,Bowling Green,89.25,90,89.49,114.81,116,115.04,-25.560000000000002,-26,-25.55000000000001,35.169719795119015
759,31,Mississippi,Mississippi St,62.27,63,62.11,26.12,27,26.12,36.150000000000006,36,35.989999999999995,22.233615123062044
760,31,Buffalo,Ohio,85.25,86,85.32,62.63,63,62.51,22.619999999999997,23,22.809999999999995,26.105311467384652
761,31,C Michigan,N Illinois,67.65,67,67.57,57.87,58,57.68,9.780000000000008,9,9.889999999999993,30.59306624643918
762,24,Pittsburgh,Miami FL,64.3,65,64.18,12.94,12,12.89,51.36,53,51.290000000000006,17.693256180319924
763,37,Toledo,W Michigan,32.47,31,32.14,78.47,79,78.33,-46,-48,-46.19,40.37178368948975
764,49,UCF,South Florida,9.1,8,8.95,35.43,34,35.21,-26.33,-26,-26.26,36.85966267542165
765,10,Virginia Tech,Virginia,19.41,19,19.25,63.33,62,63.21,-43.92,-43,-43.96,31.456325441400068
766,24,Houston,Navy,48.13,47,47.77,51.61,52,51.33,-3.479999999999997,-5,-3.559999999999995,26.859480567780327
